Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
2015,Norwich Lakenfields,63.4910606998607,,98.3561643835616
2016,Norwich Lakenfields,60.4242902077987,,91.2568306010929
2017,Norwich Lakenfields,59.5881050811239,,98.9041095890411
2018,Norwich Lakenfields,63.5265296099537,,98.6301369863014
2019,Norwich Lakenfields,65.9390959383657,,98.9041095890411
1997,Norwich Centre,41.0244360902256,,41.6438356164384
1998,Norwich Centre,45.1837194337194,,81.0958904109589
1999,Norwich Centre,66.549158456486,,95.3424657534246
2000,Norwich Centre,62.3805771592305,,95.3551912568306
2001,Norwich Centre,59.5069358178054,,94.5205479452055
2002,Norwich Centre,60.1912585034014,,95.8904109589041
2003,Norwich Centre,64.6958011124678,,96.1643835616438
2004,Norwich Centre,57.1650478888439,,96.448087431694
2005,Norwich Centre,58.3923669467787,,93.1506849315068
2006,Norwich Centre,63.8311032401941,,99.4520547945205
2007,Norwich Centre,61.4677058668771,,99.1780821917808
2008,Norwich Centre,71.8700396825397,,36.0655737704918
1996,Nottingham Centre,28.1046981292517,,30.6010928961749
1997,Nottingham Centre,39.7513451708367,,96.986301369863
1998,Nottingham Centre,40.5203021718602,,96.7123287671233
1999,Nottingham Centre,48.7412227602906,,96.986301369863
2000,Nottingham Centre,42.71315509444,,97.8142076502732
2001,Nottingham Centre,41.405955697042,,98.3561643835616
2002,Nottingham Centre,42.468056137411,,93.4246575342466
2003,Nottingham Centre,48.9271549979765,,96.7123287671233
2004,Nottingham Centre,45.7312730249693,,95.3551912568306
2005,Nottingham Centre,49.1887323943662,,97.2602739726027
2006,Nottingham Centre,54.2226422602467,,98.3561643835616
2007,Nottingham Centre,48.719293009683,,98.3561643835616
2008,Nottingham Centre,53.8065560501821,,96.448087431694
2009,Nottingham Centre,49.1202246435297,,96.986301369863
2010,Nottingham Centre,46.3028253083963,,98.3561643835616
2011,Nottingham Centre,50.0080502114886,,95.6164383561644
2012,Nottingham Centre,47.6925451092118,,95.9016393442623
2013,Nottingham Centre,53.3396857681741,,92.6027397260274
2014,Nottingham Centre,55.1441693083739,,96.4383561643836
2015,Nottingham Centre,53.5251404063979,,93.6986301369863
2016,Nottingham Centre,46.8740379277447,,98.3606557377049
2017,Nottingham Centre,49.8372514226025,,98.3561643835616
2018,Nottingham Centre,55.0428741596045,,96.986301369863
2019,Nottingham Centre,54.1891608948524,,98.0821917808219
2012,Northampton Kingsthorpe,58.5716503992901,,43.9890710382514
2013,Northampton Kingsthorpe,66.4659486013577,,97.5342465753425
2014,Northampton Kingsthorpe,67.2748976521536,,97.5342465753425
2015,Northampton Kingsthorpe,66.5866812107212,,94.2465753424658
2016,Northampton Kingsthorpe,62.0934253877269,,98.9071038251366
2017,Northampton Kingsthorpe,63.3133458993902,,22.4657534246575
2017,Northampton Spring Park,67.1780422889211,,74.2465753424657
2018,Northampton Spring Park,71.5174885871362,,98.6301369863014
2019,Northampton Spring Park,70.7876312895186,,99.4520547945205
2003,Northampton,74.6221088435374,,76.7123287671233
2004,Northampton,64.5923094477408,,85.5191256830601
2005,Northampton,60.8603243021347,,95.3424657534246
2006,Northampton,67.6914908008658,,96.4383561643836
2007,Northampton,61.2223359257743,,95.6164383561644
2008,Northampton,63.5157226155768,,93.7158469945355
2009,Northampton,63.1642323596105,,97.8082191780822
2010,Northampton,59.2030734731566,,98.9041095890411
2011,Northampton,67.3465827102191,,99.4520547945205
2012,Northampton,68.2548426150121,,48.3606557377049
1997,Sandwell Oldbury,41.0619588744589,,48.2191780821918
1998,Sandwell Oldbury,50.9923025435074,,68.2191780821918
2009,Peebles,57.6363636363636,,15.0684931506849
2010,Peebles,67.0023536635285,,95.6164383561644
2011,Peebles,68.3415986394558,,95.8904109589041
2012,Peebles,63.7349206349206,,86.0655737704918
2013,Peebles,63.3068098297941,,50.6849315068493
2014,Peebles,71.2748947927384,,98.9041095890411
2015,Peebles,71.4098920123432,,96.7123287671233
2016,Peebles,67.070672985563,,98.9071038251366
2017,Peebles,71.8933806126476,,98.3561643835616
2018,Peebles,71.929796972442,,93.972602739726
2019,Peebles,69.1561206837818,,98.9041095890411
1997,Plymouth Centre,34.2874149659864,,23.013698630137
1998,Plymouth Centre,56.0078250401284,,97.5342465753425
1999,Plymouth Centre,61.9968231674692,,97.5342465753425
2000,Plymouth Centre,59.8365646258503,,95.6284153005464
2001,Plymouth Centre,42.7970467032967,,28.4931506849315
2002,Plymouth Centre,58.5174355861325,,96.7123287671233
