FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-04-09;1711;Gerencia de Zamora;171120;C.S. VIRGEN DE LA CONCHA;199;0.971774587;-5.7331438;41.5156123;VIRGEN DE LA CONCHA;Zamora
2020-04-10;1701;Gerencia de Ávila;170113;C.S. NAVARREDONDA GREDOS;19;1.330532213;-5.1468286;40.3763715;NAVARREDONDA GREDOS;Ávila
2020-04-10;1701;Gerencia de Ávila;170118;C.S. SAN PEDRO ARROYO;10;0.507872016;-4.9304366;40.814332;SAN PEDRO ARROYO;Ávila
2020-04-10;1701;Gerencia de Ávila;170121;C.S. MUÑICO;5;0.537634409;-5.1006928;40.706767;MUÑICO;Ávila
2020-04-10;1702;Gerencia de Burgos;170204;C.S. BELORADO;133;3.416388389;-3.2049005;42.3861643;BELORADO;Burgos
2020-04-10;1702;Gerencia de Burgos;170212;C.S. GAMONAL ANTIGUA;229;1.501343998;-3.6191225;42.3758528;GAMONAL ANTIGUA;Burgos
2020-04-10;1702;Gerencia de Burgos;170224;C.S. QUINTANAR SIERRA;29;0.918012029;-3.0397322;41.9837379;QUINTANAR SIERRA;Burgos
2020-04-10;1702;Gerencia de Burgos;170227;C.S. SAN AGUSTIN;350;1.59163256;-3.6970311;42.3120645;SAN AGUSTIN;Burgos
2020-04-10;1702;Gerencia de Burgos;170230;C.S. VALLE DE LOSA;1;0.182149362;-3.1799508;42.9747524;VALLE DE LOSA;Burgos
2020-04-10;1702;Gerencia de Burgos;170235;C.S. VILLARCAYO;28;0.642496558;-3.5891204;42.8916432;VILLARCAYO;Burgos
2020-04-10;1703;Gerencia de León;170312;C.S. ERAS DE RENUEVA;427;1.138393452;-5.4972298;42.723601;ERAS DE RENUEVA;León
2020-04-10;1704;Gerencia de Ponferrada;170404;C.S. PONFERRADA I;163;0.753130342;-6.5098923;42.5043763;PONFERRADA I;León
2020-04-10;1704;Gerencia de Ponferrada;170409;C.S. VILLABLINO;76;0.847646665;-6.3637869;42.924184;VILLABLINO;León
2020-04-10;1705;Gerencia de Palencia;170501;C.S. AGUILAR DE CAMPOO;44;0.522131245;-4.1750585;42.7876987;AGUILAR DE CAMPOO;Palencia
2020-04-10;1705;Gerencia de Palencia;170513;C.S. PINTOR OLIVA;374;1.645040686;-4.5093597;41.9977561;PINTOR OLIVA;Palencia
2020-04-10;1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;250;2.030044661;-5.5135134;40.7460397;ALBA DE TORMES;Salamanca
2020-04-10;1706;Gerencia de Salamanca;170624;C.S. PEÑARANDA;97;0.963927258;-5.2549602;40.8839787;PEÑARANDA;Salamanca
2020-04-10;1706;Gerencia de Salamanca;170626;C.S. ROBLEDA;5;0.304321363;-6.576536;40.3713532;ROBLEDA;Salamanca
2020-04-10;1706;Gerencia de Salamanca;170630;C.S. TAMAMES;24;1.096391046;-6.1158181;40.6516889;TAMAMES;Salamanca
2020-04-10;1706;Gerencia de Salamanca;170633;C.S. VILLORIA;115;2.85218254;-5.3715956;41.0345487;VILLORIA;Salamanca
2020-04-10;1706;Gerencia de Salamanca;170635;C.S. UNIVERSIDAD CENTRO;215;1.87086669;-5.6668451;40.9635604;UNIVERSIDAD CENTRO;Salamanca
2020-04-10;1706;Gerencia de Salamanca;170637;C.S. CAPUCHINOS;226;2.299318344;-5.67021;40.9834149;CAPUCHINOS;Salamanca
2020-04-10;1707;Gerencia de Segovia;170704;C.S. FUENTESAUCO;36;2.614379085;-4.0940193;41.4080459;FUENTESAUCO;Segovia
2020-04-10;1708;Gerencia de Soria;170804;C.S. BERLANGA DE DUERO;17;1.220387653;-2.8636289;41.4257913;BERLANGA DE DUERO;Soria
2020-04-10;1708;Gerencia de Soria;170808;C.S. OLVEGA;24;0.570613409;-1.9769546;41.7233482;OLVEGA;Soria
2020-04-10;1708;Gerencia de Soria;170810;C.S. SAN LEONARDO YAGÜE;33;0.865460268;-3.1059501;41.8083737;SAN LEONARDO YAGÜE;Soria
2020-04-10;1708;Gerencia de Soria;170813;C.S. SORIA NORTE;560;2.362968902;-2.4772902;41.7676962;SORIA NORTE;Soria
2020-04-10;1709;Gerencia de Valladolid Oeste;170913;C.S. MEDINA DE RIOSECO;74;1.128564892;-5.0000709;41.858445;MEDINA DE RIOSECO;Valladolid
2020-04-10;1710;Gerencia de Valladolid Este;171007;C.S. MAGDALENA;152;1.648411235;-4.7117729;41.6599262;MAGDALENA;Valladolid
2020-04-10;1710;Gerencia de Valladolid Este;171014;C.S. SAN PABLO;161;1.440973776;-4.7265359;41.6561919;SAN PABLO;Valladolid
2020-04-10;1711;Gerencia de Zamora;171104;C.S. BENAVENTE NORTE;121;0.973451327;-5.7625318;42.0547064;BENAVENTE NORTE;Zamora
2020-04-10;1711;Gerencia de Zamora;171106;C.S. CAMARZANA DE TERA;4;0.131622244;-6.0366846;41.9912912;CAMARZANA DE TERA;Zamora
2020-04-10;1711;Gerencia de Zamora;171111;C.S. PUERTA NUEVA;154;0.921328148;-5.7402331;41.500653;PUERTA NUEVA;Zamora
2020-04-10;1711;Gerencia de Zamora;171114;C.S. PUEBLA DE SANABRIA;34;0.855561147;-6.6501789;42.0813187;PUEBLA DE SANABRIA;Zamora
2020-04-11;1701;Gerencia de Ávila;170104;C.S. AVILA NORTE;329;2.914341394;-4.7125253;40.6965512;AVILA NORTE;Ávila
2020-04-11;1701;Gerencia de Ávila;170108;C.S. BARCO DE AVILA;38;0.842572062;-5.4905478;40.334521;BARCO DE AVILA;Ávila
2020-04-11;1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;23;0.644257703;-5.308102;40.5423616;PIEDRAHITA;Ávila
2020-04-11;1702;Gerencia de Burgos;170202;C.S. ARANDA RURAL;142;1.831785346;-3.628658;41.6853253;ARANDA RURAL;Burgos
2020-04-11;1702;Gerencia de Burgos;170204;C.S. BELORADO;134;3.44207552;-3.2049005;42.3861643;BELORADO;Burgos
2020-04-11;1702;Gerencia de Burgos;170210;C.S. CONDADO DE TREVIÑO;29;1.595159516;-2.7067503;42.7338412;CONDADO DE TREVIÑO;Burgos
2020-04-11;1702;Gerencia de Burgos;170211;C.S. ESPINOSA MONTEROS;19;0.711344066;-3.5532281;43.0737277;ESPINOSA MONTEROS;Burgos
2020-04-11;1702;Gerencia de Burgos;170215;C.S. HUERTA DE REY;2;0.149700599;-3.3753229;41.8011313;HUERTA DE REY;Burgos
2020-04-11;1702;Gerencia de Burgos;170217;C.S. LOS COMUNEROS;277;1.62045162;-3.6855424;42.3637215;LOS COMUNEROS;Burgos
2020-04-11;1702;Gerencia de Burgos;170222;C.S. MIRANDA OESTE;255;1.328955597;-2.9563542;42.6840113;MIRANDA OESTE;Burgos
2020-04-11;1702;Gerencia de Burgos;170228;C.S. SANTA CLARA;251;1.455494346;-3.6638629;42.3283523;SANTA CLARA;Burgos
